Número do Bem,Motivo
8444426944144,Falha na requisição HTTP
8444429773600,Falha na requisição HTTP
8444408447878,Falha na requisição HTTP
8555519420406,Falha na requisição HTTP
8787712727233,Falha na requisição HTTP
8787712739576,Falha na requisição HTTP
8444429283475,Falha na requisição HTTP
8444418901679,Falha na requisição HTTP
8444427299773,Falha na requisição HTTP
8444425645097,Falha na requisição HTTP
8444424133173,Falha na requisição HTTP
8444429806818,Falha na requisição HTTP
8787703549735,Falha na requisição HTTP
8787701899615,Falha na requisição HTTP
8787703194597,Falha na requisição HTTP
8787705420250,Falha na requisição HTTP
8787703202964,Falha na requisição HTTP
8787710771979,Falha na requisição HTTP
8787701698989,Falha na requisição HTTP
8787701779490,Falha na requisição HTTP
8787701791407,Falha na requisição HTTP
8787701904252,Falha na requisição HTTP
8787701934585,Falha na requisição HTTP
8787702314505,Falha na requisição HTTP
8787702693310,Falha na requisição HTTP
8787702829017,Falha na requisição HTTP
8787703271915,Falha na requisição HTTP
8787703476053,Falha na requisição HTTP
8787703539160,Falha na requisição HTTP
8787703670038,Falha na requisição HTTP
8787704002870,Falha na requisição HTTP
8787713932779,Falha na requisição HTTP
8444428790721,Falha na requisição HTTP
8787704497623,Falha na requisição HTTP
8787705391900,Falha na requisição HTTP
8787705477146,Falha na requisição HTTP
8787705647980,Falha na requisição HTTP
8787705691571,Falha na requisição HTTP
8787705717481,Falha na requisição HTTP
8787702847805,Falha na requisição HTTP
8787703697718,Falha na requisição HTTP
8787703952092,Falha na requisição HTTP
8444413279465,Falha na requisição HTTP
8787714493566,Falha na requisição HTTP
8787714535102,Falha na requisição HTTP
8444433965534,Falha na requisição HTTP
8787705286154,Falha na requisição HTTP
8787709836574,Falha na requisição HTTP
8787710470111,Falha na requisição HTTP
8787710517002,Falha na requisição HTTP
8787705679679,Falha na requisição HTTP
8787704480631,Falha na requisição HTTP
8787703610108,Falha na requisição HTTP
8787704514560,Falha na requisição HTTP
8787714445235,Falha na requisição HTTP
8787710296413,Falha na requisição HTTP
8787710659753,Falha na requisição HTTP
8787703417677,Falha na requisição HTTP
8787704552500,Falha na requisição HTTP
8787714104446,Falha na requisição HTTP
8787701976466,Falha na requisição HTTP
8787710445591,Falha na requisição HTTP
8787703815788,Falha na requisição HTTP
8787704588785,Falha na requisição HTTP
8787714257846,Falha na requisição HTTP
8787703304350,Falha na requisição HTTP
1787702022760,Falha na requisição HTTP
10284141,Falha na requisição HTTP
8787710874085,Falha na requisição HTTP
8444408405334,Falha na requisição HTTP
10218088,Falha na requisição HTTP
10278250,Falha na requisição HTTP
10217331,Falha na requisição HTTP
8444411574354,Falha na requisição HTTP
1444405830346,Falha na requisição HTTP
8787708907257,Falha na requisição HTTP
8444416178473,Falha na requisição HTTP
1444402933330,Falha na requisição HTTP
10210360,Falha na requisição HTTP
1444400843091,Falha na requisição HTTP
1444421776709,Falha na requisição HTTP
8444423297075,Falha na requisição HTTP
8444429014849,Falha na requisição HTTP
8155200010988,Falha na requisição HTTP
8444408723131,Falha na requisição HTTP
8444419750062,Falha na requisição HTTP
8444423234065,Falha na requisição HTTP
8787700728213,Falha na requisição HTTP
8787718087317,Falha na requisição HTTP
1444415736636,Falha na requisição HTTP
8444416847197,Falha na requisição HTTP
8444428347232,Falha na requisição HTTP
8444403839212,Falha na requisição HTTP
8787701336343,Falha na requisição HTTP
8444422313999,Falha na requisição HTTP
8444410704823,Falha na requisição HTTP
8444423370198,Falha na requisição HTTP
1444412444294,Falha na requisição HTTP
1444411861568,Falha na requisição HTTP
1444413240730,Falha na requisição HTTP
8444421833484,Falha na requisição HTTP
8444418135747,Falha na requisição HTTP
8444413770436,Falha na requisição HTTP
8555524633200,Falha na requisição HTTP
1444411131985,Falha na requisição HTTP
8444404798498,Falha na requisição HTTP
8555512847072,Falha na requisição HTTP
8444420124994,Falha na requisição HTTP
8444409573508,Falha na requisição HTTP
8444406189855,Falha na requisição HTTP
8555515362061,Falha na requisição HTTP
8444419915053,Falha na requisição HTTP
1444403263827,Falha na requisição HTTP
10275690,Falha na requisição HTTP
8444414758774,Falha na requisição HTTP
8444422690300,Falha na requisição HTTP
1555523652970,Falha na requisição HTTP
10209029,Falha na requisição HTTP
8444416037128,Falha na requisição HTTP
8787713812188,Falha na requisição HTTP
8787713461253,Falha na requisição HTTP
8555518955551,Falha na requisição HTTP
8787717235088,Falha na requisição HTTP
1600000046730,Falha na requisição HTTP
8195200514055,Falha na requisição HTTP
8444429850655,Falha na requisição HTTP
1444401853260,Falha na requisição HTTP
1555528553075,Falha na requisição HTTP
1444401008382,Falha na requisição HTTP
8444407769685,Falha na requisição HTTP
8787713901563,Falha na requisição HTTP
8787713122408,Falha na requisição HTTP
8787713734918,Falha na requisição HTTP
8787714229087,Falha na requisição HTTP
8444404357122,Falha na requisição HTTP
8787715870134,Falha na requisição HTTP
8444405091304,Falha na requisição HTTP
8555537007795,Falha na requisição HTTP
1444407173466,Falha na requisição HTTP
1555530500552,Falha na requisição HTTP
8036800016569,Falha na requisição HTTP
8444406014702,Falha na requisição HTTP
8444410742032,Falha na requisição HTTP
8787714501054,Falha na requisição HTTP
8787715313030,Falha na requisição HTTP
8787715362562,Falha na requisição HTTP
8555521989046,Falha na requisição HTTP
8444424217172,Falha na requisição HTTP
8444406996831,Falha na requisição HTTP
8787703522527,Falha na requisição HTTP
8787705100042,Falha na requisição HTTP
8787715624605,Falha na requisição HTTP
1555514603105,Falha na requisição HTTP
8444408572575,Falha na requisição HTTP
10285153,Falha na requisição HTTP
1555506792891,Falha na requisição HTTP
8555517442550,Falha na requisição HTTP
8195200512893,Falha na requisição HTTP
8444414898894,Falha na requisição HTTP
8444415316759,Falha na requisição HTTP
8555526284016,Falha na requisição HTTP
8787715025965,Falha na requisição HTTP
8787713670154,Falha na requisição HTTP
1787702917503,Falha na requisição HTTP
8787717371054,Falha na requisição HTTP
1444419074204,Falha na requisição HTTP
8787715863944,Falha na requisição HTTP
1555518382391,Falha na requisição HTTP
1787701723837,Falha na requisição HTTP
10283597,Falha na requisição HTTP
8787715828235,Falha na requisição HTTP
8787701028479,Falha na requisição HTTP
8444410130398,Falha na requisição HTTP
1444417566720,Falha na requisição HTTP
8787709207836,Falha na requisição HTTP
8444402770677,Falha na requisição HTTP
8787713964603,Falha na requisição HTTP
8444410527220,Falha na requisição HTTP
8444430192259,Falha na requisição HTTP
8444424651174,Falha na requisição HTTP
8787703642182,Falha na requisição HTTP
1444420155069,Falha na requisição HTTP
1444421038260,Falha na requisição HTTP
8444419577549,Falha na requisição HTTP
1444417646480,Falha na requisição HTTP
1444417647142,Falha na requisição HTTP
1444419222424,Falha na requisição HTTP
8555518895613,Falha na requisição HTTP
8555533693309,Falha na requisição HTTP
8555533968766,Falha na requisição HTTP
8555535638666,Falha na requisição HTTP
8555536897673,Falha na requisição HTTP
8787703495961,Falha na requisição HTTP
8787712290358,Falha na requisição HTTP
8787712299754,Falha na requisição HTTP
8787713867748,Falha na requisição HTTP
8787714970003,Falha na requisição HTTP
8787716737225,Falha na requisição HTTP
8444407408992,Falha na requisição HTTP
8555507754894,Falha na requisição HTTP
8555514026327,Falha na requisição HTTP
8555519425785,Falha na requisição HTTP
8444421971402,Falha na requisição HTTP
8444423636724,Falha na requisição HTTP
8444405979690,Falha na requisição HTTP
8444408378060,Falha na requisição HTTP
8444409764338,Falha na requisição HTTP
1444419929838,Falha na requisição HTTP
8444430437030,Falha na requisição HTTP
1444419295294,Falha na requisição HTTP
1444419558678,Falha na requisição HTTP
1444419536801,Falha na requisição HTTP
1444420734778,Falha na requisição HTTP
8444431619701,Falha na requisição HTTP
1444422945768,Falha na requisição HTTP
8444433419890,Falha na requisição HTTP
1444423126671,Falha na requisição HTTP
8444433866030,Falha na requisição HTTP
8444418429651,Falha na requisição HTTP
8444421138310,Falha na requisição HTTP
8444433495198,Falha na requisição HTTP
8444427107912,Falha na requisição HTTP
8444413510329,Falha na requisição HTTP
8444436541760,Falha na requisição HTTP
8444425471404,Falha na requisição HTTP
8444423096460,Falha na requisição HTTP
8555517933309,Falha na requisição HTTP
8555527871110,Falha na requisição HTTP
1444423081724,Falha na requisição HTTP
10204783,Falha na requisição HTTP
10197891,Falha na requisição HTTP
10199856,Falha na requisição HTTP
8555505861120,Falha na requisição HTTP
8787710356033,Falha na requisição HTTP
8444424621569,Falha na requisição HTTP
1555520929360,Falha na requisição HTTP
8555540288791,Falha na requisição HTTP
8444431531472,Falha na requisição HTTP
8444421342448,Falha na requisição HTTP
8444429631848,Falha na requisição HTTP
8555537332998,Falha na requisição HTTP
8444410616134,Falha na requisição HTTP
8444427738246,Falha na requisição HTTP
8444429491710,Falha na requisição HTTP
8444419079239,Falha na requisição HTTP
8444436351626,Falha na requisição HTTP
8787711709649,Falha na requisição HTTP
8555523710995,Falha na requisição HTTP
1444416389395,Falha na requisição HTTP
8787700787074,Falha na requisição HTTP
8444426708157,Falha na requisição HTTP
8444411659848,Falha na requisição HTTP
8787706648408,Falha na requisição HTTP
8787703704226,Falha na requisição HTTP
8787713262129,Falha na requisição HTTP
8787704730670,Falha na requisição HTTP
8787706186102,Falha na requisição HTTP
8787710901619,Falha na requisição HTTP
8787703569655,Falha na requisição HTTP
8787704120902,Falha na requisição HTTP
8787705535723,Falha na requisição HTTP
8787700275324,Falha na requisição HTTP
8787700697369,Falha na requisição HTTP
8555526878609,Falha na requisição HTTP
8787711633910,Falha na requisição HTTP
8787702319914,Falha na requisição HTTP
8555515096507,Falha na requisição HTTP
8444427706360,Falha na requisição HTTP
8787713712914,Falha na requisição HTTP
8787715430851,Falha na requisição HTTP
8787707647480,Falha na requisição HTTP
8787713042676,Falha na requisição HTTP
8787714934511,Falha na requisição HTTP
8787712778865,Falha na requisição HTTP
8787714641964,Falha na requisição HTTP
8787706686121,Falha na requisição HTTP
8787712234008,Falha na requisição HTTP
8787714930974,Falha na requisição HTTP
8787708457057,Falha na requisição HTTP
8787711804390,Falha na requisição HTTP
8787712231580,Falha na requisição HTTP
8787712235705,Falha na requisição HTTP
8787712671459,Falha na requisição HTTP
8787715170574,Falha na requisição HTTP
8787703804964,Falha na requisição HTTP
8787705256697,Falha na requisição HTTP
8787705745582,Falha na requisição HTTP
8787711321233,Falha na requisição HTTP
8555513549792,Falha na requisição HTTP
8787701887528,Falha na requisição HTTP
1787702194668,Falha na requisição HTTP
1555519900973,Falha na requisição HTTP
1555538052761,Falha na requisição HTTP
1787701625185,Falha na requisição HTTP
8787700914262,Falha na requisição HTTP
8787708604360,Falha na requisição HTTP
8787715795370,Falha na requisição HTTP
8787704728854,Falha na requisição HTTP
8444408523795,Falha na requisição HTTP
8787717652142,Falha na requisição HTTP
8787704191648,Falha na requisição HTTP
8787700311169,Falha na requisição HTTP
1555516142300,Falha na requisição HTTP
1787701474780,Falha na requisição HTTP
8787703941520,Falha na requisição HTTP
1444400750689,Falha na requisição HTTP
8787708426801,Falha na requisição HTTP
8787716449327,Falha na requisição HTTP
8787714664620,Falha na requisição HTTP
8555521292444,Falha na requisição HTTP
8787714972286,Falha na requisição HTTP
8787715184893,Falha na requisição HTTP
8787704054799,Falha na requisição HTTP
8787707508251,Falha na requisição HTTP
8787707622763,Falha na requisição HTTP
8787712396059,Falha na requisição HTTP
8787713458864,Falha na requisição HTTP
8787705369076,Falha na requisição HTTP
8787708542321,Falha na requisição HTTP
8787710135568,Falha na requisição HTTP
8787711148965,Falha na requisição HTTP
8787711654283,Falha na requisição HTTP
8787713097829,Falha na requisição HTTP
8787713115860,Falha na requisição HTTP
8787713132810,Falha na requisição HTTP
8787713815284,Falha na requisição HTTP
8787714700758,Falha na requisição HTTP
8787716229637,Falha na requisição HTTP
8787718186226,Falha na requisição HTTP
8787701140635,Falha na requisição HTTP
8787705530217,Falha na requisição HTTP
8787706834449,Falha na requisição HTTP
8787707072496,Falha na requisição HTTP
8787707328326,Falha na requisição HTTP
8787708269757,Falha na requisição HTTP
8787709410127,Falha na requisição HTTP
8787714438220,Falha na requisição HTTP
8787711412824,Falha na requisição HTTP
8787700869437,Falha na requisição HTTP
8787714179497,Falha na requisição HTTP
8787712607939,Falha na requisição HTTP
8555538294275,Falha na requisição HTTP
8787714999443,Falha na requisição HTTP
8787713758604,Falha na requisição HTTP
8787704718891,Falha na requisição HTTP
8444431133540,Falha na requisição HTTP
8787710664374,Falha na requisição HTTP
8787711332634,Falha na requisição HTTP
8787710701334,Falha na requisição HTTP
8787718740720,Falha na requisição HTTP
8444413032150,Falha na requisição HTTP
1444421293384,Falha na requisição HTTP
8444430102292,Falha na requisição HTTP
8444433223821,Falha na requisição HTTP
8444419833766,Falha na requisição HTTP
8444417365323,Falha na requisição HTTP
8444433976978,Falha na requisição HTTP
8444408183536,Falha na requisição HTTP
1555517587844,Falha na requisição HTTP
8444429049200,Falha na requisição HTTP
8444426571550,Falha na requisição HTTP
8444426665563,Falha na requisição HTTP
1444402665573,Falha na requisição HTTP
1444406866450,Falha na requisição HTTP
8787711277501,Falha na requisição HTTP
8787716611701,Falha na requisição HTTP
1555522986573,Falha na requisição HTTP
1155533600021,Falha na requisição HTTP
1155533600048,Falha na requisição HTTP
1155533600056,Falha na requisição HTTP
1155533600064,Falha na requisição HTTP
1155533600072,Falha na requisição HTTP
1155533600080,Falha na requisição HTTP
1155533600099,Falha na requisição HTTP
1155533600102,Falha na requisição HTTP
1155533600110,Falha na requisição HTTP
1155533600129,Falha na requisição HTTP
1155533600137,Falha na requisição HTTP
1155533600170,Falha na requisição HTTP
1155533600188,Falha na requisição HTTP
1155533600196,Falha na requisição HTTP
