Número do Bem,Motivo,Tipo Erro,Mensagem Erro,Status HTTP,Request ID Azion,Edge Location,Challenge Detectado,Tentativas,Origem Coleta,URL,URL Final,Trecho Resposta
10211723,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211723 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211723,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211723,
8555512125182,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512125182 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512125182,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512125182,
8555522296907,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555522296907 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555522296907,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555522296907,
10215733,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10215733 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10215733,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10215733,
10215738,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10215738 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10215738,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10215738,
8555509077512,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555509077512 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555509077512,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555509077512,
8787704141446,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704141446 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704141446,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704141446,
8555513052340,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513052340 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513052340,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513052340,
8787707148611,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707148611 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707148611,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707148611,
8444409507050,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409507050 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409507050,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409507050,
10150840,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150840 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150840,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150840,
10150841,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150841 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150841,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10150841,
10171503,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171503 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171503,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171503,
10152331,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10152331 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10152331,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10152331,
8787703420260,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703420260 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703420260,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703420260,
8444420551159,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420551159 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420551159,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420551159,
8555529382930,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555529382930 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555529382930,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555529382930,
1444407614446,Falha na requisição HTTP,network_error,"HTTPSConnectionPool(host='venda-imoveis.caixa.gov.br', port=443): Max retries exceeded with url: /sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407614446 (Caused by NameResolutionError(""HTTPSConnection(host='venda-imoveis.caixa.gov.br', port=443): Failed to resolve 'venda-imoveis.caixa.gov.br' ([Errno 8] nodename nor servname provided, or not known)""))",,,,Não,3,requests,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407614446,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407614446,
