Número do Bem,Motivo
8444405621346,Falha na requisição HTTP
8787707893910,Falha na requisição HTTP
8444410102769,Falha na requisição HTTP
8444411284577,Falha na requisição HTTP
8787712870680,Falha na requisição HTTP
1444414374897,Falha na requisição HTTP
1444413646443,Falha na requisição HTTP
8444402642040,Falha na requisição HTTP
8444428620907,Falha na requisição HTTP
8787706640679,Falha na requisição HTTP
8787702072293,Falha na requisição HTTP
8787701230464,Falha na requisição HTTP
8444429024259,Falha na requisição HTTP
