
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555519496038 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QD QUADRA 105, N. SN, LT 01, RUA 35. ;32.654,85;138.000,00;76.34;Casa, 0.00 de área total, 59.81 de área privativa, 215.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519496038
 8787703682710 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. S/N, Apto 101, LT 02, RUA 18 ;35.912,22;150.000,00;76.06;Apartamento, 0.00 de área total, 63.73 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703682710
 8787706340047 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 202, LOTE 03, RUA 18 ;33.996,91;142.000,00;76.06;Apartamento, 74.22 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706340047
 8444424927838 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, Apto 103, LT 16-B ;26.037,90;106.000,00;75.44;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424927838
 8787703562642 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 102, LOTE 05 TERREO ;38.972,67;155.000,00;74.86;Apartamento, 0.00 de área total, 63.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703562642
 8444427028079 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;RUA 38 (TRINTA E OITO), N. SN, Apto 102, BLOCO H LOTE 11 QUADRA 85 ;35.853,12;142.593,08;74.86;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427028079
 8444416401393 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA MACAUB MACAUBA, N. SN, Apto 102, QD 23 LT 22 VAGA 04 ;36.458,30;145.000,00;74.86;Apartamento, 0.00 de área total, 53.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416401393
 8444424185017 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA 32, Apto 302, LT 13, RUA SUCUPIRA, RES ANAVILLE ;42.651,58;168.000,00;74.62;Apartamento, 0.00 de área total, 62.99 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424185017
 8444419318748 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 18, Apto 201, QUADRA 72, LOTE 04 ;34.968,56;133.000,00;73.71;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419318748
 8787706931886 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA QUADRA 72, N. SN, Apto 201, LOT 03 RUA 18 BOX 03 ;36.745,11;133.000,00;72.38;Apartamento, 0.00 de área total, 63.81 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706931886
 8444419507940 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;RUA 41, N. SN, Apto 102, QD 45 BL C ;37.252,57;134.836,77;72.38;Apartamento, 0.00 de área total, 48.29 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419507940
 8444427819181 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM PEROLA DA BARRAGEM I ;QUADRA 1A, N. SN, Apto 102, LT 32 ;41.347,35;148.000,00;72.07;Apartamento, 0.00 de área total, 57.48 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427819181
 8444414793278 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES ILHA BELA ;AVENIDA 3, N. SN, Apto 201, QD D03, CONJ A, LT 1A38 ;39.671,11;142.000,00;72.07;Apartamento, 0.00 de área total, 52.87 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414793278
 8444406432628 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS II ;QUADRA 2, N. 2, CS 02, LT 17A, LOT JD STA LUCIA ;41.906,10;150.000,00;72.07;Casa, 0.00 de área total, 70.55 de área privativa, 240.00 de área do terreno, a.serv.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406432628
 8444416006680 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;RUA 32, N. SN, LOTE 50 QD 95 ;34.005,91;119.000,00;71.43;Casa, 0.00 de área total, 58.81 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416006680
